Name of School,Address,Town,Latitude,Longitude,Category of School,Private or Public (GES Schools),Region,District,Circuit,First Name,Last Name,Contact Number,Contact Email,Number of Classrooms,Boarding Facilities?,Sanitary Facilities?,Science or Teachnical Laboratory?,Assembly Hall?,Library Facilities?,Dining Facilities?,School Bus?,Sporting Facilities?,Staff Accommodation?,Description
MANYA KROBO SENIOR HIGH SCHOOL,,NEW NUASO,5.591645918,-0.249744631,SHS,Public,EASTERN,LOWER MANYA KROBO,,,,342091372,manyakroboshs@ges.gov.gh,,YES,,,,,,,,,
AKRO SENIOR HIGH/TECH SCHOOL,,ODUMASE,5.808732938,-0.072755227,SHS,Public,EASTERN,LOWER MANYA KROBO,,,,024 410 4579,akroshst@ges.gov.gh,,YES,,,,,,,,,
KROBO GIRLS SENIOR HIGH SCHOOL,,ODUMASE,6.134268179,-0.004100692,SHS,Public,EASTERN,LOWER MANYA KROBO,,,,233159211,krobogirlsshs@ges.gov.gh,,YES,,,,,,,,,
AKUSE METHODIST SENIOR HIGH/TECH SCHOOL,,AKUSE,6.096567736,0.126358227,SHS,Public,EASTERN,LOWER MANYA KROBO,,,,559888856,akusemethodistshst@ges.gov.gh,,YES,,,,,,,,,
KOFORIDUA TECH. INST.,,KOFORIDUA,6.112898138,-0.285048031,TECH,Public,EASTERN,NEW JUABEN,,,,9064274257,koforiduatechinst@ges.gov.gh,,YES,,,,,,,,,
"PENTECOST SENIOR HIGH SCHOOL,KOFORIDUA",,KOFORIDUA,6.090211081,-0.285540619,SHS,Public,EASTERN,NEW JUABEN,,,,342094657,pentecostkoforiduashs@ges.gov.gh,,YES,,,,,,,,,
OYOKO METHODIST  SENIOR HIGH SCHOOL,,OYOKO,6.143683443,-0.287759192,SHS,Public,EASTERN,NEW JUABEN MUNICIPAL,,,,261408811,oyokomethodistshs@ges.gov.gh,,YES,,,,,,,,,
"S.D.A SENIOR HIGH SCHOOL, KOFORIDUA",,"ASOKORE-
KOFORIDUA",6.115598758,-0.278220831,SHS,Public,EASTERN,NEW JUABEN MUNICIPAL,,,,548562340,sdakoforiduashs@ges.gov.gh,,YES,,,,,,,,,
"GHANA SENIOR HIGH SCHOOL, KOFORIDUA",,KOFORIDUA,6.110684253,-0.264317619,SHS,Public,EASTERN,NEW JUABEN MUNICIPAL,,,,203709095,ghanashskoforidua@ges.gov.gh,,YES,,,,,,,,,
OTI BOATENG SENIOR HIGH SCHOOL,,ADA/KOFORIDUA,6.105553955,-0.248097477,SHS,Public,EASTERN,NEW JUABEN MUNICIPAL,,,,+233 24 438 1775,otiboatengshs@ges.gov.gh,,YES,,,,,,,,,
"POPE JOHN SENIOR HIGH & MIN. SEM. SCHOOL,
KOFORIDUA",,KOFORIDUA,6.103687368,-0.269320561,SHS,Public,EASTERN,NEW JUABEN MUNICIPAL,,,,243158858,popejohnshs@ges.gov.gh,,YES,,,,,,,,,
KOFORIDUA SENIOR HIGH/TECH SCHOOL,,KOFORIDUA,6.15657307,-0.302755373,SHS,Public,EASTERN,NEW JUABEN MUNICIPAL,,,,342022450,koforiduashst@ges.gov.gh,,YES,,,,,,,,,
NEW JUABEN SENIOR HIGH/COMM SCHOOL,,KOFORIDUA,6.070033288,-0.265204875,SHS,Public,EASTERN,NEW JUABEN MUNICIPAL,,,,342024410,newjuabencomshs@ges.gov.gh,,YES,,,,,,,,,
"ST. MARTIN'S SENIOR HIGH SCHOOL, NSAWAM",,NSAWAM,5.826461705,-0.363203277,SHS,Public,EASTERN,NSAWAM ADOAGYIRI,,,,591167098,stmartinsshs@ges.gov.gh,,YES,,,,,,,,,
NSAWAM SENIOR HIGH SCHOOL,,NSAWAM,5.806635507,-0.354107896,SHS,Public,EASTERN,NSAWAM ADOAGYIRI,,,,024 411 4222,nsawamshs@ges.gov.gh,,NO,,,,,,,,,
"PRESBY SENIOR HIGH SCHOOL, SUHUM",,SUHUM,6.040956512,-0.45394339,SHS,Public,EASTERN,SUHUM MUNICIPAL,,,,548399657,presbysuhumshs@ges.gov.gh,,YES,,,,,,,,,
SUHUM SENIOR HIGH/TECH SCHOOL,,SUHUM,6.035607238,-0.453163646,SHS,Public,EASTERN,SUHUM MUNICIPAL,,,,+233 24 403 9218,suhumshst@ges.gov.gh,,YES,,,,,,,,,
"ISLAMIC GIRLS SENIOR HIGH SCHOOL,SUHUM",,KORASE-SUHUM,6.016506042,-0.442589077,SHS,Public,EASTERN,SUHUM MUNICIPAL,,,,+233 24 415 7477,islamicgirlsshs@ges.gov.gh,,YES,,,,,,,,,
ASESEWA SENIOR HIGH SCHOOL,,ASESEWA,6.401036482,-0.147191548,SHS,Public,EASTERN,UPPER MANYA KROBO,,,,208199470,asesewashs@ges.gov.gh,,YES,,,,,,,,,
ADEISO PRESBY SENIOR HIGH SCHOOL,,ADEISO,5.796803075,-0.483829519,SHS,Public,EASTERN,UPPER WEST AKIM,,,,+233 20 775 9796,presbyadeisoshs@ges.gov.gh,,YES,,,,,,,,,
KWAOBAAH NYANOA COMM. SENIOR HIGH SCHOOL,,NYANOA,5.785324142,-0.595713573,SHS,Public,EASTERN,UPPER WEST AKIM,,,,024 475 804,kwaobaahnyanoacommshs@ges.gov.gh,,NO,,,,,,,,,
ASAMANKESE SENIOR HIGH SCHOOL,,ASAMANKESE,5.873527481,-0.675405734,SHS,Public,EASTERN,WEST AKIM MUNICIPAL,,,,244837426,asamankeseshs@ges.gov.gh,,YES,,,,,,,,,
ST. THOMAS SENIOR HIGH/TECH SCHOOL,,ASAMANKESE,5.844317465,-0.649120573,SHS,Public,EASTERN,WEST AKIM MUNICIPAL,,,,245643212,stthomasshs@ges.gov.gh,,YES,,,,,,,,,
KLO-AGOGO SENIOR HIGH SCHOOL,,KLO-AGOGO,6.249119248,-0.226497507,SHS,Public,EASTERN,YILO KROBO,,,,243137970,kloagogoshs@ges.gov.gh,,NO,,,,,,,,,
YILO KROBO SENIOR HIGH/COMM SCHOOL,,SOMANYA,6.117655733,-0.030303273,SHS,Public,EASTERN,YILO KROBO,,,,055 927 2615,yilokroboshscomm@ges.gov.gh,,YES,,,,,,,,,
KANESHIE SENIOR HIGH/TECH SCHOOL,,KANESHIE,5.566116265,-0.243374034,SHS,Public,"GREATER
ACCRA","ABLEKUMA CENTRAL
MUNICIPAL",,,,200648567,kaneshieshst@ges.gov.gh,,NO,,,,,,,,,
WESLEY GRAMMAR SENIOR HIGH SCHOOL,,DANSOMAN,5.570295729,-0.260399575,SHS,Public,"GREATER
ACCRA","ABLEKUMA NORTH
MUNICPAL",,,,302301040,wesleygrammarshs@ges.gov.gh,,YES,,,,,,,,,
ST. MARGARET MARY SENIOR HIGH/TECH SCHOOL,,DANSOMAN,5.560454755,-0.269545577,SHS,Public,"GREATER
ACCRA","ABLEKUMA WEST
MUNICIPAL",,,,556384254,stmargaretmaryshst@ges.gov.gh,,NO,,,,,,,,,
EBENEZER SENIOR HIGH SCHOOL,,DANSOMAN,5.530154653,-0.270774973,SHS,Public,"GREATER
ACCRA","ABLEKUMA WEST
MUNICIPAL",,,,302986227,ebenezershs@ges.gov.gh,,NO,,,,,,,,,
ACCRA ACADEMY,,KANESHIE,5.571736759,-0.243774288,SHS,Public,"GREATER
ACCRA",ACCRA METRO,,,,302221721,accraacademyshs@ges.gov.gh,,YES,,,,,,,,,
ACCRA WESLEY GIRLS SENIOR HIGH SCHOOL,,KANESHIE,5.568084296,-0.230428502,SHS,Public,"GREATER
ACCRA",ACCRA METRO,,,,261141418,accrawesleygirlshs@ges.gov.gh,,NO,,,,,,,,,
HOLY TRINITY SENIOR HIGH SCHOOL,,"HIGH STREET-
ACCRA",5.54180345,-0.20596675,SHS,Public,"GREATER
ACCRA",ACCRA METRO,,,,270742862,holytrinityshs@ges.gov.gh,,NO,,,,,,,,,
"ST. MARY'S SENIOR HIGH SCHOOL, KORLE GONNO",,KORLE GONNO,5.536067108,-0.223351338,SHS,Public,"GREATER
ACCRA",ACCRA METRO,,,,302663042,stmarysshs@ges.gov.gh,,YES,,,,,,,,,
SACRED HEART TECH. INST.,,JAMES TOWN,5.535746487,-0.214041646,TECH,Public,"GREATER
ACCRA",ACCRA METRO,,,,278898042,sacredhearttechinst@ges.gov.gh,,NO,,,,,,,,,
ADA TECH. INST.,,ADA,5.622135937,-0.244274144,TECH,Public,"GREATER
ACCRA",ADA EAST DISTRICT,,,,207259322,adatechinst@ges.gov.gh,,NO,,,,,,,,,
ADA SENIOR HIGH SCHOOL,,ADA-FOAH,5.802363306,0.614539723,SHS,Public,"GREATER
ACCRA",ADA EAST DISTRICT,,,,241319248,adashs@ges.gov.gh,,YES,,,,,,,,,
ADA SENIOR HIGH/TECH SCHOOL,,SEGE,5.87623328,0.365583096,SHS,Public,"GREATER
ACCRA",ADA WEST DISTRICT,,,,302940375,adashst@ges.gov.gh,,YES,,,,,,,,,
FRAFRAHA COMM. SENIOR HIGH SCHOOL,,FRAFRAHA,5.716988634,-0.160540277,SHS,Public,"GREATER
ACCRA",ADENTAN MUNICIPAL,,,,542917255,frafrahacomshs@ges.gov.gh,,NO,,,,,,,,,
ASHIAMAN SENIOR HIGH SCHOOL,,ASHIAMAN,5.69657902,-0.018519677,SHS,Public,"GREATER
ACCRA",ASHIAMAN MUNICIPAL,,,,248608736,ashiamanshs@ges.gov.gh,,NO,,,,,,,,,
ASHIAMAN TECH/VOC. INST.,,ASHIAMAN,5.718632629,-0.047508161,TVET,Public,"GREATER
ACCRA",ASHIAMAN MUNICIPAL,,,,559592615,ashiamantechvocinst@ges.gov.gh,,NO,,,,,,,,,
ACCRA TECH. TRG. CENTRE,,KOKOMLEMLE,5.574195549,-0.209045561,TECH,Public,"GREATER
ACCRA","AYAWASO CENTRAL
MUNICIPAL",,,,502288449,accratechtrgcentre@ges.gov.gh,,NO,,,,,,,,,
ACCRA GIRLS SENIOR HIGH SCHOOL,,MAMOBI,5.59723966,-0.192989561,SHS,Public,"GREATER
ACCRA","AYAWASO NORTH
MUNICIPAL",,,,244502350,accragirlsshs@ges.gov.gh,,YES,,,,,,,,,
ODORGONNO SENIOR HIGH SCHOOL,,AWOSHIE,5.592902095,-0.283806134,SHS,Public,"GREATER
ACCRA",GA CENTRAL MUNICIPAL,,,,+233 20 825 8529,odorgonnoshs@ges.gov.gh,,YES,,,,,,,,,
KWABENYA COMM. SENIOR HIGH SCHOOL,,KWABENYA,5.667074976,-0.236650973,SHS,Public,"GREATER
ACCRA",GA EAST MUNICIPAL,,,,245952924,kwabenyacommshs@ges.gov.gh,,NO,,,,,,,,,
ST. JOHN'S GRAMMAR SENIOR HIGH SCHOOL,,ACHIMOTA,5.638871657,-0.245147361,SHS,Public,"GREATER
ACCRA",GA NORTH MUNICIPAL,,,,549176965,stjohnsgrammarshs@ges.gov.gh,,YES,,,,,,,,,
CHRISTIAN METHODIST SENIOR HIGH SCHOOL,,APLAKU (WEIJA),5.54472374,-0.331910361,SHS,Public,"GREATER
ACCRA",GA SOUTH MUNICIPAL,,,,244743202,christianmethodistshs@ges.gov.gh,,NO,,,,,,,,,
NGLESHIE AMANFRO SENIOR HIGH SCHOOL,,"NGLESHIE
AMANFRO",5.544806383,-0.407320273,SHS,Public,"GREATER
ACCRA",GA SOUTH MUNICIPAL,,,,024 474 3202,ngleshieamanfroshs@ges.gov.gh,,NO,,,,,,,,,
ADJEN KOTOKU SENIOR HIGH SCHOOL,,ADJEN KOTOKU,5.736733824,-0.361760177,SHS,Public,"GREATER
ACCRA",GA WEST MUNICIPAL,,,,560152049,adjenkotokushs@ges.gov.gh,,NO,,,,,,,,,
AMASAMAN SENIOR HIGH/TECH SCHOOL,,AMASAMAN,5.691192771,-0.292675248,SHS,Public,"GREATER
ACCRA",GA WEST MUNICIPAL,,,,302224737,amasamanshst@ges.gov.gh,,NO,,,,,,,,,
ACCRA SENIOR HIGH SCHOOL,,ASYLUM DOWN,5.570124468,-0.199231151,SHS,Public,"GREATER
ACCRA","KORLEY KLOTTEY
MUNICIPAL",,,,502288449,accrashs@ges.gov.gh,,NO,,,,,,,,,
"PRESBY SENIOR HIGH SCHOOL, OSU",,OSU,5.555711792,-0.185352132,SHS,Public,"GREATER
ACCRA","KORLEY KLOTTEY
MUNICIPAL",,,,303425632,presbyshsosu@ges.gov.gh,,NO,,,,,,,,,
KINBU SENIOR HIGH/TECH SCHOOL,,TUDU - ACCRA,5.551327388,-0.204525575,SHS,Public,"GREATER
ACCRA","KORLEY KLOTTEY
MUNICIPAL",,,,+233 30 266 3904,kinbushst@ges.gov.gh,,NO,,,,,,,,,
KPONE COMM. SENIOR HIGH SCHOOL,,KATAMANSO,5.717566107,0.043675754,SHS,Public,"GREATER
ACCRA","KPONE KATAMANSO
MUNICIPAL",,,,208177270,kponecommshs@ges.gov.gh,,NO,,,,,,,,,
O'REILLY SENIOR HIGH SCHOOL,,OKPOI GOMME,5.627039724,-0.11639579,SHS,Public,"GREATER
ACCRA",KROWOR MUNICIPAL,,,,302712033,oreillyshs@ges.gov.gh,,YES,,,,,,,,,
NUNGUA SENIOR HIGH SCHOOL,,NUNGUA,5.60303668,-0.079286119,SHS,Public,"GREATER
ACCRA",KROWOR MUNICIPAL,,,,302781618,nunguashs@ges.gov.gh,,YES,,,,,,,,,
"FORCES SENIOR HIGH/TECH SCHOOL, BURMA CAMP",,BURMA CAMP,5.593626006,-0.15873449,SHS,Public,"GREATER
ACCRA","LA DADE-KOTOPON
MUNICIPAL",,,,302776801,forcesshs@ges.gov.gh,,YES,,,,,,,,,
"ST. THOMAS AQUINAS SENIOR HIGH SCHOOL,
CANTOMENTS",,CANTONMENTS,5.573570171,-0.178002423,SHS,Public,"GREATER
ACCRA","LA DADE-KOTOPON
MUNICIPAL",,,,270996549,stthomasaquinasshs@ges.gov.gh,,NO,,,,,,,,,
LABONE SENIOR HIGH SCHOOL,,LABONE,5.564773388,-0.171116229,SHS,Public,"GREATER
ACCRA","LA DADE-KOTOPON
MUNICIPAL",,,,307288778,laboneshs@ges.gov.gh,,YES,,,,,,,,,
LA PRESBY SENIOR HIGH SCHOOL,,LA EMMAUS,5.562147832,-0.160764004,SHS,Public,"GREATER
ACCRA","LA DADE-KOTOPON
MUNICIPAL",,,,203609106,presbylashs@ges.gov.gh,,NO,,,,,,,,,
WEST AFRICA SENIOR HIGH SCHOOL,,ADENTA,5.705968509,-0.173685061,SHS,Public,"GREATER
ACCRA","LA NKWANTANANG MADINA
MUNICIPAL",,,,302500945,westafricashs@ges.gov.gh,,NO,,,,,,,,,
"PRESBY BOYS SENIOR HIGH SCHOOL, LEGON",,LEGON,5.662895555,-0.176398277,SHS,Public,"GREATER
ACCRA","LA NKWANTANANG MADINA
MUNICIPAL",,,,+23324 325 4847,presbyboyslegonshs@ges.gov.gh,,YES,,,,,,,,,
"PRESBY SENIOR HIGH SCHOOL, TESHIE",,TESHIE,5.575690619,-0.107006906,SHS,Public,"GREATER
ACCRA",LEDZOKUKU MUNICIPAL,,,,558295234,presbyteshieshs@ges.gov.gh,,NO,,,,,,,,,
TESHIE TECH. INSTITTUTE,,TESHIE,5.574029483,-0.112069334,TECH,Public,"GREATER
ACCRA",LEDZOKUKU MUNICIPAL,,,,242918737,teshietechinst@ges.gov.gh,,NO,,,,,,,,,
PRAMPRAM SENIOR HIGH SCHOOL,,PRAMPRAM,5.744712195,0.107522379,SHS,Public,"GREATER
ACCRA","NINGO PRAMPRAM
DISTRICT",,,,244462052,prampramshs@ges.gov.gh,,YES,,,,,,,,,
NINGO SENIOR HIGH SCHOOL,,OLD NINGO,5.749927964,0.15638848,SHS,Public,"GREATER
ACCRA","NINGO PRAMPRAM
DISTRICT",,,,22366767050,ningoshs@ges.gov.gh,,YES,,,,,,,,,
ACHIMOTA SENIOR HIGH SCHOOL,,ACHIMOTA,5.628554863,-0.212915578,SHS,Public,"GREATER
ACCRA",OKAIKOI NORTH MUNICIPAL,,,,+233 24 476 9163,achimotashs@ges.gov.gh,,YES,,,,,,,,,
OSUDOKU SENIOR HIGH/TECH SCHOOL,,ASUTSUARE,6.07660093,0.195774796,SHS,Public,"GREATER
ACCRA",SHAI-OSUDOKU DISTRICT,,,,247016143,osudokushst@ges.gov.gh,,YES,,,,,,,,,
GHANATA SENIOR HIGH SCHOOL,,DODOWA,5.889290296,-0.099447661,SHS,Public,"GREATER
ACCRA",SHAI-OSUDOKU DISTRICT,,,,241215846,ghanatashs@ges.gov.gh,,YES,,,,,,,,,
TEMA METH. DAY SENIOR HIGH SCHOOL,,TEMA COMM II,5.66601503,-0.021366765,SHS,Public,"GREATER
ACCRA",TEMA METRO,,,,242844785,temamethdayshs@ges.gov.gh,,NO,,,,,,,,,
TEMA TECH. INST.,,TEMA,5.665683285,-0.004158784,TECH,Public,"GREATER
ACCRA",TEMA METRO,,,,303302846,tematechinst@ges.gov.gh,,NO,,,,,,,,,
"PRESBY SENIOR HIGH SCHOOL, TEMA",,TEMA,5.663338637,-0.030580117,SHS,Public,"GREATER
ACCRA",TEMA METRO,,,,209574063,presbyshstema@ges.gov.gh,,NO,,,,,,,,,
TEMA MANHEAN SENIOR HIGH/TECH SCHOOL,,"TEMA NEW
TOWN",5.661831344,0.026748354,SHS,Public,"GREATER
ACCRA",TEMA METRO,,,,303206903,temamanheanshst@ges.gov.gh,,NO,,,,,,,,,
CHEMU SENIOR HIGH/TECH SCHOOL,,TEMA COMM 4,5.658893116,-0.008736059,SHS,Public,"GREATER
ACCRA",TEMA METRO,,,,+233 20 840 8722,chemushst@ges.gov.gh,,NO,,,,,,,,,
OUR LADY OF MERCY SENIOR HIGH SCHOOL,,TEMA COMM 4,5.650583927,-0.008705192,SHS,Public,"GREATER
ACCRA",TEMA METRO,,,,249831265,ourladyofmercyshs@ges.gov.gh,,NO,,,,,,,,,
TEMA SENIOR HIGH SCHOOL,,TEMA COMM 5,5.655385943,0.025249796,SHS,Public,"GREATER
ACCRA",TEMA WEST MUNICIPAL,,,,+233 55 631 9163,temashs@ges.gov.gh,,YES,,,,,,,,,
LASHIBI COMMUNITY SENIOR HIGH SCHOOL,,"LASHIBI-
SAKUMONO",5.633472359,-0.059180946,SHS,Public,"GREATER
ACCRA",TEMA WEST MUNICIPAL,,,,024 398 8529,lashibicommunityshs@ges.gov.gh,,NO,,,,,,,,,
NAKPANDURI SENIOR HIGH SCHOOL,,NAKPANDURI,10.63196376,-0.181739244,SHS,Public,NORTH EAST,BUNKRUPGU-YUNGUO,,,,241522213,nakpandurishs@ges.gov.gh,,YES,,,,,,,,,
BUNKPURUGU SENIOR HIGH/TECH SCHOOL,,BUNKUPURUGU,10.52267431,0.086554083,SHS,Public,NORTH EAST,BUNKRUPGU-YUNGUO,,,,249295022,bunkpurugushst@ges.gov.gh,,YES,,,,,,,,,
CHEREPONI SENIOR HIGH/TECH SCHOOL,,CHEREPONI,10.13804384,0.290810168,SHS,Public,NORTH EAST,CHEREPONI,,,,205831322,chereponishst@ges.gov.gh,,YES,,,,,,,,,
GAMBAGA GIRLS SENIOR HIGH SCHOOL,,GAMBAGA,10.52708955,-0.445298288,SHS,Public,NORTH EAST,EAST MAMPRUSI,,,,242951247,gambagagirlsshs@ges.gov.gh,,YES,,,,,,,,,
NALERIGU SENIOR HIGH SCHOOL,,NALERIGU,10.52204206,-0.388017561,SHS,Public,NORTH EAST,EAST MAMPRUSI,,,,037 2026688,nalerigushs@ges.gov.gh,,YES,,,,,,,,,
SAKOGU SENIOR HIGH/TECH SCHOOL,,SAKOGU,10.58389865,-0.264242075,SHS,Public,NORTH EAST,EAST MAMPRUSI,,,,241633443,sakogushst@ges.gov.gh,,NO,,,,,,,,,
YAGABA SENIOR HIGH SCHOOL,,YAGABA,10.39625589,-0.863589011,SHS,Public,NORTH EAST,MAMPRUGU MOADURI,,,,57 097 6222,yagabashs@ges.gov.gh,,YES,,,,,,,,,
WULUGU SENIOR HIGH SCHOOL,,WULUGU,10.46758805,-0.792431746,SHS,Public,NORTH EAST,WEST MAMPRUSI,,,,205174644,wulugushs@ges.gov.gh,,YES,,,,,,,,,
WALEWALE SENIOR HIGH SCHOOL,,WALEWELE,10.34494904,-0.808357962,SHS,Public,NORTH EAST,WEST MAMPRUSI,,,,205595735,walewaleshs@ges.gov.gh,,YES,,,,,,,,,
JANGA SENIOR HIGH/TECH SCHOOL,,"MUNICIPAL
ASSEMBLY",10.3446768,-0.808442832,SHS,Public,NORTH EAST,"WEST MAMPRUSI
MUNICIPAL",,,,242951247,jangashts@ges.gov.gh,,YES,,,,,,,,,
WALEWALETECH/ VOC INST.,,WALEWALE,10.36775833,-0.794462961,SHS,Public,NORTH EAST,WEST MAMPUSI,,,,208286437,walewaletechvocinst@ges.gov.gh,,NO,,,,,,,,,
LANGBINSI SENIOR HIGH TECHNICAL SCHOOL,,LANGBINSI,10.41643567,-0.553805366,SHS,Public,"NORTH EAST
REGION",EAST MAMPRUSI MUNICIPAL,,,,209198700,langbinsishst@ges.gov.gh,,NO,,,,,,,,,
GUSHEGU SENIOR HIGH SCHOOL,,GUSHEGU,9.907801269,-0.213443619,SHS,Public,NORTHERN,GUSHEGU,,,,024 584 7514,gushegushs@ges.gov.gh,,YES,,,,,,,,,
KARAGA SENIOR HIGH SCHOOL,,KARAGA,9.926894125,-0.433601657,SHS,Public,NORTHERN,KARAGA,,,,024 662 1888,karagashs@ges.gov.gh,,YES,,,,,,,,,
KPANDAI SENIOR HIGH SCHOOL,,KPANDAI,8.471061394,-0.011720268,SHS,Public,NORTHERN,KPANDI,,,,024 311 3834 / 020 834 6074,kpandaishs@ges.gov.gh,,YES,,,,,,,,,
KUMBUNGU SENIOR HIGH SCHOOL,,KUMBUNGU,9.552982955,-0.946418161,SHS,Public,NORTHERN,KUMBUNGU,,,,024 207 2554 / 020 653 6152,kumbungushs@ges.gov.gh,,YES,,,,,,,,,
SANG COMM. DAY SCHOOL,,SANG,9.423479015,-0.253715401,SHS,Public,NORTHERN,MION,,,,024 256 9184,sangcommdayshs@ges.gov.gh,,NO,,,,,,,,,
BIMBILLA SENIOR HIGH SCHOOL,,BIMBILLA,8.86312571,0.052565981,SHS,Public,NORTHERN,NANUMBA NORTH,,,,242721179,bimbillashs@ges.gov.gh,,YES,,,,,,,,,
WULENSI SENIOR HIGH SCHOOL,,WULENSI,8.64461064,-0.000165559,SHS,Public,NORTHERN,NANUMBA SOUTH,,,,˜024 479 3353,wulensishs@ges.gov.gh,,YES,,,,,,,,,
WAPULI COMM. SENIOR HIGH SCHOOL,,WAPULI,9.738777652,0.101550154,SHS,Public,NORTHERN,SABOBA,,,,024 495 3221,wapulicommshs@ges.gov.gh,,NO,,,,,,,,,
SABOBA E.P. SENIOR HIGH SCHOOL,,SABOBA,9.722959761,0.309625868,SHS,Public,NORTHERN,SABOBA,,,,024 647 2928,sabobaepshs@ges.gov.gh,,YES,,,,,,,,,
ST. JOSEPH'S TECH. INST.,,SABOBA,6.772032515,-0.680599865,TECH,Public,NORTHERN,SABOBA,,,,027 622 1376,stjosephstechinstkwahu@ges.gov.gh,,YES,,,,,,,,,
"ISLAMIC SCIENCE SENIOR HIGH SCHOOL, TAMALE",,TAMALE,9.460374403,-0.833977088,SHS,Public,NORTHERN,SAGNERIGU,,,,˜024 482 6753,islamicscienceshs@ges.gov.gh,,YES,,,,,,,,,
NORTHERN SCHOOL OF BUSINESS,,TAMALE,9.439121981,-0.850498117,SHS,Public,NORTHERN,SAGNERIGU,,,,037 202 2932,northernschoolofbusiness@ges.gov.gh,,YES,,,,,,,,,
TAMALE TECHNICAL INSTITUTE,,TAMALE,9.430184941,-0.866597334,SHS,Public,NORTHERN,SAGNERIGU,,,,024 230 70648,tamaletechinst@ges.gov.gh,,YES,,,,,,,,,
TAMALE SENIOR HIGH SCHOOL,,TAMALE,9.419479377,-0.867694603,SHS,Public,NORTHERN,SAGNERIGU,,,,249943868,tamaleshs@ges.gov.gh,,YES,,,,,,,,,
KALPOHIN SENIOR HIGH SCHOOL,,TAMALE,9.416146653,-0.829551263,SHS,Public,NORTHERN,SAGNERIGU,,,,+233 37 202 2491,kalpohinshs@ges.gov.gh,,YES,,,,,,,,,
PONG-TAMALE SENIOR HIGH SCHOOL,,PONG-TAMALE,9.682866199,-0.827616301,SHS,Public,NORTHERN,SAVELUGU-NANTON,,,,037 2091101,pongtamaleshs@ges.gov.gh,,YES,,,,,,,,,
SAVELUGU SENIOR HIGH SCHOOL,,SAVELUGU,9.635555043,-0.828401947,SHS,Public,NORTHERN,SAVELUGU-NANTON,,,,020 977 7031,savelugushs@ges.gov.gh,,YES,,,,,,,,,
"BUSINESS SENIOR HIGH SCHOOL, TAMALE",,TAMALE,9.403254362,-0.87879898,SHS,Public,NORTHERN,TAMALE METRO,,,,020 452 8853,businessshs@ges.gov.gh,,YES,,,,,,,,,
"GHANA SENIOR HIGH SCHOOL, TAMALE",,TAMALE,9.426108325,-0.843929448,SHS,Public,NORTHERN,TAMALE METRO,,,,+233 54 799 2708,ghanatamaleshs@ges.gov.gh,,YES,,,,,,,,,
DABOKPA VOC/TECH. INST.,,TAMALE,9.39035621,-0.816440161,SHS,Public,NORTHERN,TAMALE METRO,,,,020 827 0117,dabokpatechvocinst@ges.gov.gh,,YES,,,,,,,,,
VITTING SENIOR HIGH/TECH.,,TAMALE,9.428098767,-0.84474364,SHS,Public,NORTHERN,TAMALE METRO,,,,037 2024781,vittingshst@ges.gov.gh,,YES,,,,,,,,,
"ST. CHARLES SENIOR HIGH SCHOOL, TAMALE",,TAMALE,9.38943281,-0.832365774,SHS,Public,NORTHERN,TAMALE METRO,,,,542385643,stcharlesshs@ges.gov.gh,,YES,,,,,,,,,
ANBARIYA SENIOR HIGH SCHOOL,,TAMALE,9.37990053,-0.789689574,SHS,Public,NORTHERN,TAMALE METRO,,,,+233 24 447 9073,anbariyashs@ges.gov.gh,,YES,,,,,,,,,
TAMALE GIRLS SENIOR HIGH SCHOOL,,TAMALE,9.377420146,-0.761767746,SHS,Public,NORTHERN,TAMALE METRO,,,,242951247,tamalegirlsshs@ges.gov.gh,,YES,,,,,,,,,
"PRESBY SENIOR HIGH SCHOOL, TAMALE",,TAMALE,9.371593889,-0.841189476,SHS,Public,NORTHERN,TAMALE METRO,,,,˜024 647 2928,presbytamaleshs@ges.gov.gh,,NO,,,,,,,,,
E. P. AGRIC SENIOR HIGH/TECH SCHOOL,,TATALE,"9.427981213596718, ",0.844735935,SHS,Public,NORTHERN,TATALE SANGULI,,,,+233 24 987 7300,epagricshst@ges.gov.gh,,NO,,,,,,,,,
KASULIYILI SENIOR HIGH SCHOOL,,KASULIYILI,9.54768732,-1.116117376,SHS,Public,NORTHERN,TOLON,,,,024 456 6731,kasuliyilishs@ges.gov.gh,,NO,,,,,,,,,
TOLON SENIOR HIGH SCHOOL,,TOLON,9.425760301,-1.056283401,SHS,Public,NORTHERN,TOLON,,,,245982462,tolonshs@ges.gov.gh,,YES,,,,,,,,,
DAGBON STATE SENIOR HIGH/TECH SCHOOL,,YENDI,9.441888413,0.007342075,SHS,Public,NORTHERN,YENDI MUNICIPAL,,,,201691546,dagbonstateshst@ges.gov.gh,,YES,,,,,,,,,
YENDI SENIOR HIGH SCHOOL,,YENDI,9.436278729,0.005368503,SHS,Public,NORTHERN,YENDI MUNICIPAL,,,,+233 37 242 2156,yendishs@ges.gov.gh,,YES,,,,,,,,,
ZABZUGU SENIOR HIGH SCHOOL,,ZABZUGU,9.299906801,0.374604354,SHS,Public,NORTHERN,ZABZUGU,,,,208275555,zabzugushs@ges.gov.gh,,YES,,,,,,,,,
WORAWORA SENIOR HIGH SCHOOL,,WORAWORA,7.508090595,0.377520612,SHS,Public,OTI,BIAKOYE,,,,+233 24 991 8218,woraworashs@ges.gov.gh,,YES,,,,,,,,,
